"","Entity","Year","total_affected_rate_per_100k_all_disasters"
"466","Ethiopia",1980,5075.111347
"467","Ethiopia",1990,1081.023766
"468","Ethiopia",2000,3744.798389
"469","Ethiopia",2010,1776.227445
"470","Europe",1900,4.053603994
"471","Europe",1910,0.014851144
"472","Europe",1920,0.124195437
"473","Europe",1930,0.714207046
"474","Europe",1940,1.133277249
"475","Europe",1950,11.62369163
"476","Europe",1960,33.39002867
"477","Europe",1970,62.33412488
"478","Europe",1980,65.41195104
"479","Europe",1990,225.9134397
"480","Europe",2000,127.2612185
"481","Europe",2010,69.58237728
"482","Fiji",1930,0
"483","Fiji",1940,0
"484","Fiji",1950,26.2295082
"485","Fiji",1960,614.6303234
"486","Fiji",1970,3296.739518
"487","Fiji",1980,8954.426902
"488","Fiji",1990,5587.740084
"489","Fiji",2000,621.0619017
"490","Fiji",2010,9921.987412
"491","Finland",1990,0
"492","Finland",2000,0.760600875
"493","France",1900,0
"494","France",1910,0
"495","France",1920,0
"496","France",1930,0
"497","France",1940,0
"498","France",1950,0
"499","France",1960,0.221546394
"500","France",1970,4.893300071
"501","France",1980,1.181040103
"502","France",1990,600.840742
"503","France",2000,10.32075987
"504","France",2010,83.98058464
"505","French Guiana",1990,4929.577465
"506","French Guiana",2000,0.306748466
"507","French Guiana",2010,0
"508","French Polynesia",1950,0
"509","French Polynesia",1960,0
"510","French Polynesia",1970,0
"511","French Polynesia",1980,302.3952096
"512","French Polynesia",1990,22.02586207
"513","French Polynesia",2000,0
"514","French Polynesia",2010,309.5374305
"515","Gabon",1980,111.3585746
"516","Gabon",1990,0
"517","Gabon",2000,5.098789038
"518","Gabon",2010,466.5650246
"519","Gambia",1910,0
"520","Gambia",1920,0
"521","Gambia",1930,0
"522","Gambia",1940,0
"523","Gambia",1950,0
"524","Gambia",1960,7426.170141
"525","Gambia",1970,98.61932939
"526","Gambia",1980,7849.293564
"527","Gambia",1990,284.9515752
"528","Gambia",2000,199.5590159
"529","Gambia",2010,2937.957996
"530","Georgia",1990,8.644048285
"531","Georgia",2000,1667.991034
"532","Georgia",2010,402.2400201
"533","Germany",1990,29.2485912
"534","Germany",2000,40.75853293
"535","Germany",2010,0.859574756
"536","Ghana",1930,19.94781672
"537","Ghana",1940,0
"538","Ghana",1950,0
"539","Ghana",1960,30.04085556
"540","Ghana",1970,13.37345369
"541","Ghana",1980,11309.2023
"542","Ghana",1990,1899.160181
"543","Ghana",2000,309.4408449
"544","Ghana",2010,440.7386273
"545","Greece",1900,3.181497979
"546","Greece",1910,0
"547","Greece",1920,0
"548","Greece",1930,34.8427069
"549","Greece",1940,61.20650646
"550","Greece",1950,212.774714
"551","Greece",1960,95.18557642
"552","Greece",1970,640.8809946
"553","Greece",1980,129.1491318
"554","Greece",1990,138.7210241
"555","Greece",2000,21.9200592
"556","Greece",2010,84.06624396
"557","Grenada",1960,0
"558","Grenada",1970,0
"559","Grenada",1980,0
"560","Grenada",1990,124.754902
"561","Grenada",2000,5769.230769
"562","Grenada",2010,0
"563","Guadeloupe",1920,0
"564","Guadeloupe",1930,0
"565","Guadeloupe",1940,0
"566","Guadeloupe",1950,0
"567","Guadeloupe",1960,669.0850687
"568","Guadeloupe",1970,2272.818182
"569","Guadeloupe",1980,290.9186352
"570","Guadeloupe",1990,21.35391924
"571","Guadeloupe",2000,3.768472906
"572","Guadeloupe",2010,2000.05
"573","Guam",1960,0
"574","Guam",1970,0
"575","Guam",1980,41.14754098
"576","Guam",1990,837.596976
"577","Guam",2000,983.573329
"578","Guatemala",1900,0
"579","Guatemala",1910,0
"580","Guatemala",1920,0
"581","Guatemala",1930,0
"582","Guatemala",1940,0
"583","Guatemala",1950,0
"584","Guatemala",1960,18.66081229
"585","Guatemala",1970,7570.806739
"586","Guatemala",1980,148.3400754
"587","Guatemala",1990,139.7893273
"588","Guatemala",2000,2454.347194
"589","Guatemala",2010,4683.47921
"590","Guinea",1980,51.32311482
"591","Guinea",1990,8.795128317
"592","Guinea",2000,329.7252148
"593","Guinea",2010,105.7187321
"594","Guinea-Bissau",1910,0
"595","Guinea-Bissau",1920,0
"596","Guinea-Bissau",1930,0
"597","Guinea-Bissau",1940,0
"598","Guinea-Bissau",1950,0
"599","Guinea-Bissau",1960,0
"600","Guinea-Bissau",1970,0
"601","Guinea-Bissau",1980,40.55859803
"602","Guinea-Bissau",1990,29.50833401
"603","Guinea-Bissau",2000,1042.468059
"604","Guinea-Bissau",2010,434.480446
"605","Guyana",1970,294.1176471
"606","Guyana",1980,0
"607","Guyana",1990,8509.897059
"608","Guyana",2000,5491.154574
"609","Guyana",2010,2636.769281
"610","Haiti",1900,0
"611","Haiti",1910,0
"612","Haiti",1920,0
"613","Haiti",1930,0
"614","Haiti",1940,0
"615","Haiti",1950,724.6376812
"616","Haiti",1960,813.9640624
"617","Haiti",1970,1947.754561
"618","Haiti",1980,3813.346538
"619","Haiti",1990,3475.587914
"620","Haiti",2000,1252.189959
"621","Haiti",2010,10577.48128
"622","High income",1900,5.994428131
"623","High income",1910,0.181525564
"624","High income",1920,5.590856795
"625","High income",1930,6.809954951
"626","High income",1940,45.83432456
"627","High income",1950,88.09356691
"628","High income",1960,149.7577668
"629","High income",1970,103.466969
"630","High income",1980,66.92329014
"631","High income",1990,330.0810628
"632","High income",2000,252.5396978
"633","High income",2010,852.5660124
"634","Honduras",1930,0
"635","Honduras",1940,0
"636","Honduras",1950,0
"637","Honduras",1960,482.1664931
"638","Honduras",1970,3182.336631
"639","Honduras",1980,154.9463592
"640","Honduras",1990,4630.948923
"641","Honduras",2000,1432.616571
"642","Honduras",2010,1846.543552
"643","Hong Kong",1900,0
"644","Hong Kong",1910,0
"645","Hong Kong",1920,0
"646","Hong Kong",1930,0
"647","Hong Kong",1940,0
"648","Hong Kong",1950,0.409594096
"649","Hong Kong",1960,129.2202533
"650","Hong Kong",1970,125.599995
"651","Hong Kong",1980,42.81982789
"652","Hong Kong",1990,14.03014267
"653","Hong Kong",2000,6.059731417
"654","Hong Kong",2010,22.1536294
"655","Hungary",1970,0
"656","Hungary",1980,0
"657","Hungary",1990,130.4453052
"658","Hungary",2000,46.18301924
"659","Hungary",2010,232.6479627
"660","Iceland",1970,244.4041827
"661","Iceland",1980,11.2
"662","Iceland",1990,3.097014925
"663","Iceland",2000,7.107142857
"664","Iceland",2010,0
"665","India",1900,0
"666","India",1910,0
"667","India",1920,38.01067121
"668","India",1930,0
"669","India",1940,0.950199566
"670","India",1950,62.4449773
"671","India",1960,2347.955034
"672","India",1970,5683.702464
"673","India",1980,7547.600207
"674","India",1990,3271.182458
"675","India",2000,5543.9344
"676","India",2010,3599.377315
"677","Indonesia",1910,0.004482649
"678","Indonesia",1920,2.276818588
"679","Indonesia",1930,1.712969135
"680","Indonesia",1940,2.500143056
"681","Indonesia",1950,0.410748703
"682","Indonesia",1960,142.7067345
"683","Indonesia",1970,380.2921042
"684","Indonesia",1980,131.747876
"685","Indonesia",1990,360.1660342
"686","Indonesia",2000,508.4215485
"687","Indonesia",2010,272.0748207
"688","Iran",1900,0
"689","Iran",1910,0
"690","Iran",1920,0.852427338
"691","Iran",1930,0
"692","Iran",1940,3.602712554
"693","Iran",1950,7.865995583
"694","Iran",1960,350.3137316
"695","Iran",1970,149.0084736
"696","Iran",1980,324.4465702
"697","Iran",1990,6039.869314
"698","Iran",2000,351.9344181
"699","Iran",2010,1311.4147
"700","Iraq",1950,0
"701","Iraq",1960,974.1637421
"702","Iraq",1970,0
"703","Iraq",1980,0
"704","Iraq",1990,0.27950137
"705","Iraq",2000,26.11375223
"706","Iraq",2010,28.51019098
"707","Ireland",1980,0
"708","Ireland",1990,9.867493657
"709","Ireland",2000,1.260509713
"710","Ireland",2010,1.938085121
"711","Israel",1900,0
"712","Israel",1910,0
"713","Israel",1920,0
"714","Israel",1930,0
"715","Israel",1940,0
"716","Israel",1950,0
"717","Israel",1960,0
"718","Israel",1970,0.046197584
"719","Israel",1980,0
"720","Israel",1990,2.210015377
"721","Israel",2000,0.689539186
"722","Israel",2010,2691.195267
"723","Italy",1900,48.1021629
"724","Italy",1910,0.178105077
"725","Italy",1920,0
"726","Italy",1930,2.45272014
"727","Italy",1940,3.092294567
"728","Italy",1950,38.88250688
"729","Italy",1960,266.7374344
"730","Italy",1970,291.3234387
"731","Italy",1980,80.6570021
"732","Italy",1990,12.75475262
"733","Italy",2000,22.27038228
"734","Italy",2010,13.08503701
"735","Jamaica",1900,1153.519323
"736","Jamaica",1910,1147.336273
"737","Jamaica",1920,14.62379719
"738","Jamaica",1930,0
"739","Jamaica",1940,32.45136794
